#Name	ID	RON	>=_1_O	>=_1_any_ring_size_3	>=_1_any_ring_size_5	>=_1_any_ring_size_6	>=_1_any_ring_size_7	>=_1_any_ring_size_8	>=_1_aromatic_ring	>=_1_hetero-aromatic_ring	>=_1_saturated_or_aromatic_carbon-only_ring_size_3	>=_1_saturated_or_aromatic_carbon-only_ring_size_5	>=_1_saturated_or_aromatic_carbon-only_ring_size_6	>=_1_saturated_or_aromatic_carbon-only_ring_size_7	>=_1_saturated_or_aromatic_carbon-only_ring_size_8	>=_1_saturated_or_aromatic_heteroatom-containing_ring_size_5	>=_16_H	>=_2_O	>=_4_C	>=_8_C	>=_8_H	Auto-Ignition	Boiling_Point	C(-C)(-C)(=C)	C(-C)(-C)(=O)	C(-C)(-H)(=C)	C(-C)(-H)(=O)	C(-C)(-O)(=O)	C(-C)(=C)	C(-C)(=O)	C(-H)(=C)	C(-H)(=O)	C(-O)(=O)	C(:C)(:C)	C(~C)(:C)	C(~C)(:C)(:C)	C(~C)(~C)	C(~C)(~C)(~C)	C(~C)(~C)(~C)(~C)	C(~C)(~C)(~C)(~H)	C(~C)(~C)(~C)(~O)	C(~C)(~C)(~H)(~O)	C(~C)(~C)(~O)	C(~C)(~H)(~O)	C(~C)(~O)	C(~H)(:C)	C(~H)(:C)(:C)	C(~H)(~H)(~H)	C(~H)(~O)	C(~O)(:C)	C(~O)(:C)(:C)	C(~O)(~O)	C-C(C)(C)-C-C	C-C(C)-C(C)-C	C-C(C)-C-C	C-C(C)-C-C-C	C-C-C(C)-C-C	C-C-C-C-C	C-C-C-C-C-C	C-C-C-C-C-C(C)-C	C-C-C-C-C-C-C	C-C-C-C-C-C-C-C	C-C-C-C:C	C-C-C-O-[#1]	C-C-C:C-C	C-C-C=C	C-C-C=C-C	C-C-O-C-C	C-C-O-C:C	C-C:C-C-C	C-C:C-C:C	C-C:C-O-C	C-C:C:C-C	C-C=C-C	C-C=C-C-C	C-C=C-C:C	C-C=C-C=C	C-O	C-O-C-C:C	C-O-C-C=C	C-O-C:C-C	C-O-C=C	C:C-C-C	C:C-C-C-C	C:C-C-C:C	C:C-C:C	C:C-C=C	C:C-C=C-C	C:C-O-C	C:C-O-C-C	C=C	C=C-C-C	C=C-C-C-C	C=C-C-O-C	C=C-C-O-[#1]	C=C-C:C	C=C-C=C	C=O	CC1C(C)CCC1	CC1C(C)CCCC1	CC1CC(C)CC1	CC1CC(C)CCC1	CC1CCC(C)CC1	Cc1c(C)cccc1	Cc1ccc(C)cc1	Complexity	Defined_Bond_Stereocenter_Count	Density	Exact_Mass	Flash_Point	Heavy_Atom_Count	Hydrogen_Bond_Acceptor_Count	Hydrogen_Bond_Donor_Count	LogP	Melting_Point	Molecular_Weight	Monoisotopic_Mass	O(:C)(:C)	O(~C)(~C)	O(~C)(~H)	O-C-C-C-C	O-C-C-C-C-C	O-C-C-C-C-C-C	O-C-C-C:C	O-C-C-C=C	O-C-C:C	O-C-C:C-C	O-C-C=C	O-C-C=C-C	O-C:C-C	O-C:C-C-C	O-C:C-[#1]	O-C:C:C-C	O-C=C-C	O-H	O=C-C-C	O=C-C-C-C	O=C-C-C-C-C	O=C-C-C:C	O=C-C:C	O=C-C:C-C	O=C-C=C	O=C-C=C-C	O=C-C=C-[#1]	Rotatable_Bond_Count	Topological_Polar_Surface_Area	Undefined_Atom_Stereocenter_Count	Undefined_Bond_Stereocenter_Count	Vapor_Density	Vapor_Pressure	XLogP3	XLogP3-AA	[#1]-C-C=C-[#1]	[#1]-C-O-[#1]	[#1]-C=C-[#1]
2-Methylbutane	6556	92.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	420	27.8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0.6201	72.0939	-60	5	0	0	2.72	-159.77	72.1488	72.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2.48	689	1.4794	2.6	0	0	0
2-methylpropan-1-ol	6560	105	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	415	108	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.6	0	0.8018	74.0732	28	5	1	1	0.76	-108	74.1216	74.0732	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	20.2	0	0	2.56	10.4	0.8	3.7251	0	1	0
2-butanol	6568	107	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	763	99.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.6	0	0.8063	74.0732	24	5	1	1	0.61	-114	74.1216	74.0732	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	20.2	1	0	2.6	18.3	0.6	4.3561	0	1	0
2-Butanone	6569	105.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	505	79.59	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	38.9	0	0.805	72.0575	-8.8889	5	1	0	0.29	-86.67	72.1057	72.0575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	17.1	0	0	2.41	90.6	0.3	3.8933	0	0	0
Methyl_acetate	6584	120	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	454.4444	56.7	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	40.2	0	0.9342	74.0368	-10	5	2	0	0.18	-98.2	74.0785	74.0368	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26.3	0	0	2.55	216.2	0.2	2.8123	0	0	0
"2,3-Dimethylbutane"	6589	104.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	761	57.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0.6616	86.1095	-20	6	0	0	3.42	-128.8	86.1754	86.1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	235	3.4	2.7097	0	0	0
O-Xylene	7237	120	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	463.8889	144.5	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	56.4	0	0.8801	106.0782	17.2222	8	0	0	3.12	-25.2	106.165	106.0782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7	6.61	3.1	3.4174	1	0	1
3-Methylpentane	7282	74.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	277.7778	63.271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.2	0	0.6643	86.1095	20	6	0	0	3.6	-162.9	86.1754	86.1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	190	2.8098	3.2	0	0	0
3-Pentanone	7288	103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	450	101.7	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	41.9	0	0.8098	86.0732	13	6	1	0	0.99	-39	86.1323	86.0732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	17.1	0	0	3	37.7	2.8608	0.9	0	0	0
Methylcyclopentane	7296	89.3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	496	71.8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.3	0	0.7486	84.0939	20	6	0	0	3.37	-142.5	84.1595	84.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9	138	3.4	3.3595	0	0	0
