#Name	ID	RON	>=_1_O	>=_1_any_ring_size_3	>=_1_any_ring_size_5	>=_1_any_ring_size_6	>=_1_any_ring_size_7	>=_1_any_ring_size_8	>=_1_aromatic_ring	>=_1_hetero-aromatic_ring	>=_1_saturated_or_aromatic_carbon-only_ring_size_3	>=_1_saturated_or_aromatic_carbon-only_ring_size_5	>=_1_saturated_or_aromatic_carbon-only_ring_size_6	>=_1_saturated_or_aromatic_carbon-only_ring_size_7	>=_1_saturated_or_aromatic_carbon-only_ring_size_8	>=_1_saturated_or_aromatic_heteroatom-containing_ring_size_5	>=_16_H	>=_2_O	>=_4_C	>=_8_C	>=_8_H	Auto-Ignition	Boiling_Point	C(-C)(-C)(=C)	C(-C)(-C)(=O)	C(-C)(-H)(=C)	C(-C)(-H)(=O)	C(-C)(-O)(=O)	C(-C)(=C)	C(-C)(=O)	C(-H)(=C)	C(-H)(=O)	C(-O)(=O)	C(:C)(:C)	C(~C)(:C)	C(~C)(:C)(:C)	C(~C)(~C)	C(~C)(~C)(~C)	C(~C)(~C)(~C)(~C)	C(~C)(~C)(~C)(~H)	C(~C)(~C)(~C)(~O)	C(~C)(~C)(~H)(~O)	C(~C)(~C)(~O)	C(~C)(~H)(~O)	C(~C)(~O)	C(~H)(:C)	C(~H)(:C)(:C)	C(~H)(~H)(~H)	C(~H)(~O)	C(~O)(:C)	C(~O)(:C)(:C)	C(~O)(~O)	C-C(C)(C)-C-C	C-C(C)-C(C)-C	C-C(C)-C-C	C-C(C)-C-C-C	C-C-C(C)-C-C	C-C-C-C-C	C-C-C-C-C-C	C-C-C-C-C-C(C)-C	C-C-C-C-C-C-C	C-C-C-C-C-C-C-C	C-C-C-C:C	C-C-C-O-[#1]	C-C-C:C-C	C-C-C=C	C-C-C=C-C	C-C-O-C-C	C-C-O-C:C	C-C:C-C-C	C-C:C-C:C	C-C:C-O-C	C-C:C:C-C	C-C=C-C	C-C=C-C-C	C-C=C-C:C	C-C=C-C=C	C-O	C-O-C-C:C	C-O-C-C=C	C-O-C:C-C	C-O-C=C	C:C-C-C	C:C-C-C-C	C:C-C-C:C	C:C-C:C	C:C-C=C	C:C-C=C-C	C:C-O-C	C:C-O-C-C	C=C	C=C-C-C	C=C-C-C-C	C=C-C-O-C	C=C-C-O-[#1]	C=C-C:C	C=C-C=C	C=O	CC1C(C)CCC1	CC1C(C)CCCC1	CC1CC(C)CC1	CC1CC(C)CCC1	CC1CCC(C)CC1	Cc1c(C)cccc1	Cc1ccc(C)cc1	Complexity	Defined_Bond_Stereocenter_Count	Density	Exact_Mass	Flash_Point	Heavy_Atom_Count	Hydrogen_Bond_Acceptor_Count	Hydrogen_Bond_Donor_Count	LogP	Melting_Point	Molecular_Weight	Monoisotopic_Mass	O(:C)(:C)	O(~C)(~C)	O(~C)(~H)	O-C-C-C-C	O-C-C-C-C-C	O-C-C-C-C-C-C	O-C-C-C:C	O-C-C-C=C	O-C-C:C	O-C-C:C-C	O-C-C=C	O-C-C=C-C	O-C:C-C	O-C:C-C-C	O-C:C-[#1]	O-C:C:C-C	O-C=C-C	O-H	O=C-C-C	O=C-C-C-C	O=C-C-C-C-C	O=C-C-C:C	O=C-C:C	O=C-C:C-C	O=C-C=C	O=C-C=C-C	O=C-C=C-[#1]	Rotatable_Bond_Count	Topological_Polar_Surface_Area	Undefined_Atom_Stereocenter_Count	Undefined_Bond_Stereocenter_Count	Vapor_Density	Vapor_Pressure	XLogP3	XLogP3-AA	[#1]-C-C=C-[#1]	[#1]-C-O-[#1]	[#1]-C=C-[#1]
Ethyl_2-methylpropanoate	7342	110.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	409.1868	92.3866	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	76.6	0	0.7303	116.0837	70	8	2	0	3.5659	-96.0873	116.1583	116.0837	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	26.3	0	0	3.3074	1427.1489	3.4325	1.5	0	0	0
1-Isopropyl-4-methylcyclohexane	7459	67.3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	434.1741	170.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	86.2	0	0.8039	140.1565	5.6986	10	0	0	2.1986	-89.84	140.2658	140.1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2.5298	1520.4829	1.4794	4.5	0	0	0
para-Cymene	7463	67.3	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	436	177.1	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	1	86.2	0	0.8573	134.1096	47.2222	10	0	0	4.1	-68.9	134.2182	134.1096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4.62	1.5	4.1	3.8571	1	0	1
Ethylbenzene	7500	107	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	810	136.1	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	51.1	0	0.867	106.0782	12.8	8	0	0	3.15	-94.9	106.165	106.0782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3.66	9.6	3.1	3.3561	1	0	1
Methoxybenzene	7519	103.3	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	887	155.5	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	55.4	0	0.9956	108.0575	52	8	1	0	2.11	-37.3	108.1378	108.0575	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	9.2	0	0	3.72	0.472	2.1	2.2442	1	0	1
Propylbenzene	7668	111	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	450	159.2	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	60.4	0	0.862	120.0939	30	9	0	0	3.69	-99.5	120.1916	120.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4.14	3.42	3.7	2.9	1	0	1
Ethyl_buanoate	7762	115.4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	462.7778	120.5	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	68.9	0	0.8735	116.0837	23.8889	8	2	0	1.85	-97	116.1583	116.0837	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	26.3	0	0	4	14	2.6496	1.3	0	0	0
Butane	7843	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	287.7778	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0.573	58.0782	-76	4	0	0	2.89	-138.3	58.1222	58.0782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2.046	1820	2.9	3.2451	0	0	0
1-Butene	7844	98.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	725	-6.47	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0.577	56.0626	0	4	0	0	2.4	-185.3	56.1063	56.0626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1.93	2253	2.4	3.6515	1	0	1
"2,4,4-Trimethyl-1-Pentene"	7868	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	736	101.4	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	82.7	0	0.715	112.1252	23	8	0	0	4.55	-93.5	112.2126	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3.8	44.7	2.7561	3.7	1	0	0
"2,4,4-Trimethyl-2-Pentene"	7869	103.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	581	104.9	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	87.1	0	0.7218	112.1252	35	8	0	0	3.4109	-106.3	112.2126	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3.8	35.9	2.8169	3.6	1	0	0
2-Methylpentane	7892	73.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	306.1111	60.21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.2	0	0.655	86.1095	20	6	0	0	3.21	-153.6	86.1754	86.1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	211	3.1071	3.2	0	0	0
2-pentanone	7895	105.7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	452.2222	102.26	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	47.9	0	0.809	86.0732	7.2222	6	1	0	0.91	-76.8	86.1323	86.0732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	17.1	0	0	2.96	35.4	0.9	3.4294	0	0	0
"2,4-Dimethylpentane"	7907	83.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	430.7816	72.0558	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.3	0	0.6943	100.1252	18.6003	7	0	0	2.6225	-106.6411	100.2019	100.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2.0674	674.1293	2.6733	3.4	0	0	0
4-Methylpentan-2-ol	7910	102	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	424.9678	133	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.4	0	0.8075	102.1045	105	7	1	1	1.43	-90	102.1748	102.1045	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	20.2	1	0	1	2.8	2.8554	1.7	0	1	0
"1-Methylethyl_ester,_acetic_acid"	7915	102.9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	460	88.6	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	66.5	0	0.8718	102.0681	2	7	2	0	1.02	-73.4	102.1317	102.0681	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	26.3	0	0	3.52	60.37	3.2724	0.9	0	0	0
Methylcyclohexane	7962	73.8	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	250	100.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0.7694	98.1095	-3.8889	7	0	0	3.61	-126.6	98.1861	98.1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.39	46	3.6	3.4615	0	0	0
Pentane	8003	61.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	260	36.06	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0	0.6262	72.0939	-40	5	0	0	3.39	-129.67	72.1488	72.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2.48	514	3.4	2.3356	0	0	0
1-Pentene	8004	87.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	527	29.9	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21.2	0	0.6405	70.0782	-18	5	0	0	3.2109	-165.2	70.1329	70.0782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2.42	635	3.0331	2.4	1	0	1
Hexane	8058	24.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	225	68.73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0.6606	86.1095	-21.6667	6	0	0	3.9	-95.35	86.1754	86.1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2.97	153	3.9	3.2904	0	0	0
Cyclohexane	8078	84	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	245	80.7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.5	0	0.7781	84.0939	-17.2222	6	0	0	3.44	6.47	84.1595	84.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.98	96.9	3.4	3.547	0	0	0
1-Octene	8125	28.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	446	121.2	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0.7149	112.1252	70	8	0	0	4.57	-101.7	112.2126	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3.87	17.4	4.6	3.0453	1	0	1
2-Octene	8126	56.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	264.9478	83.3078	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	53.1	0	1.3252	112.1252	5.6986	8	0	0	2.1986	-101.4429	112.2126	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	2.5298	1520.4829	2.2966	3.7	1	0	1
Propene	8252	101.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	-48	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0	0.5139	42.047	-107.7778	3	0	0	1.77	-185	42.0797	42.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49	8690	2.2825	1.4	1	0	1
2-Methylpropene	8255	106.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	869	-6.9	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0.589	56.0626	-76.1	4	0	0	2.34	-140.4	56.1063	56.0626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94	2308	2.7205	2.1	1	0	0
2-Methyl-3-buten-2-ol	8257	106.6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	380	97	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	55	0	0.8	86.0732	10	6	1	1	0.66	-28	86.1323	86.0732	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	20.2	0	0	1	618.7704	0.8	3.5967	0	0	1
Cyclopentanone	8452	104	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	434.1741	130.6	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	58.3	0	0.9487	84.0575	87	6	1	0	0.24	-51.3	84.1164	84.0575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	17.1	0	0	2.3	11.4	0.4	3.0612	0	0	0
2-methyl-butanol	8723	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	725	128	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.1	0	0.816	88.0888	50	6	1	1	1.29	-70	88.1482	88.0888	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	20.2	1	0	3	3.13	3.131	1.2	0	1	0
Ethyl_acetate	8857	118	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	427	77.1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	49.5	0	0.9003	88.0524	-4	6	2	0	0.73	-83.8	88.1051	88.0524	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	26.3	0	0	3.04	93.2	0.7	3.9803	0	0	0
Heptane	8900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	285	98.38	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.2	0	0.6795	100.1252	-3.8889	7	0	0	4.66	-90.549	100.2019	100.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3.45	46	4.4	3.4499	0	0	0
Cyclopentane	9253	101.6	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	361.1111	49.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.6	0	0.7457	70.0782	-20	5	0	0	3	-93.4	70.1329	70.0782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42	317.8	3	2.872	0	0	0
Cycloheptane	9265	38.9	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	264.9478	118.48	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7	0	0.8098	98.1095	6	7	0	0	4	-8	98.1861	98.1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	21.6	4	3.3595	0	0	0
Cyclooctane	9266	71	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	353.2745	113.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0.8473	112.1252	22.6948	8	0	0	2.3144	-57.8458	112.2126	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3506	42.9385	4.5	3.4082	0	0	0
"2,2-Dimethylpropane"	10041	85.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	450	9.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.5	0	0.591	72.0939	19.4	5	0	0	3.11	-16.37	72.1488	72.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	1290	1.369	2.5	0	0	0
